scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,477,477,1553,5,0,0,0,470534,117877,941,235,0
upsets,1,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,458,458,1781,9,1295,0,0,283358,71114,566,142,0
upsets,1,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,469,469,1420,6,42,0,0,254669,63957,509,127,0
upsets,2,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,474,474,2516,8,0,0,0,470531,117874,941,235,0
upsets,2,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,460,460,2015,11,1295,0,0,283360,71116,566,142,0
upsets,2,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,461,461,2059,11,42,0,0,254661,63949,509,127,0
upsets,3,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,463,463,2411,10,0,0,0,470520,117863,941,235,0
upsets,3,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,451,451,2047,14,1295,0,0,283351,71107,566,142,0
upsets,3,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,451,451,1764,14,42,0,0,254651,63939,509,127,0
upsets,4,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,471,471,2387,6,0,0,0,470528,117871,941,235,0
upsets,4,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,449,449,2303,11,1295,0,0,283349,71105,566,142,0
upsets,4,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,458,458,1608,10,42,0,0,254658,63946,509,127,0
upsets,5,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,474,474,2126,9,0,0,0,470530,117874,941,235,0
