source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,31,0,124.0,0.0,124.0,4,36,32,4,0
table,25000,50000,25000,50000,36,18,144.0,72.0,151.2,5,36,32,4,0
table,50000,75000,25000,75000,38,28,152.0,112.0,163.2,6,42,32,10,0
table,75000,100000,25000,100000,36,58,144.0,232.0,167.2,6,37,31,6,0
table,100000,125000,25000,125000,20,56,80.0,224.0,102.4,4,23,21,2,0
table,125000,150000,25000,150000,43,48,172.0,192.0,191.2,7,41,35,6,0
table,150000,175000,25000,175000,23,50,92.0,200.0,112.0,4,26,16,10,0
table,175000,200000,25000,200000,20,49,80.0,196.0,99.6,3,18,18,0,0
table,200000,225000,25000,225000,22,42,88.0,168.0,104.8,4,23,20,3,0
table,225000,250000,25000,250000,24,34,96.0,136.0,109.6,4,24,14,10,0
table,250000,275000,25000,275000,25,22,100.0,88.0,108.8,4,25,22,3,0
table,275000,300000,25000,300000,11,13,44.0,52.0,49.2,2,10,10,0,0
table,300000,325000,25000,325000,21,22,84.0,88.0,92.8,3,26,20,6,0
table,325000,350000,25000,350000,21,39,84.0,156.0,99.6,3,21,21,0,0
table,350000,375000,25000,375000,10,42,40.0,168.0,56.8,2,10,6,4,0
table,375000,400000,25000,400000,15,42,60.0,168.0,76.8,3,16,12,4,0
table,400000,425000,25000,425000,13,39,52.0,156.0,67.6,2,13,11,2,0
table,425000,450000,25000,450000,5,42,20.0,168.0,36.8,1,7,4,3,0
table,450000,475000,25000,475000,13,28,52.0,112.0,63.2,2,13,12,1,0
table,475000,500000,25000,500000,33,36,132.0,144.0,146.4,5,33,31,2,0
